iter	Passed	Remaining
0	1	135
1	2	119
2	3	108
3	4	96
4	4	92
5	5	90
6	6	89
7	7	90
8	8	90
9	9	89
10	10	88
11	11	86
12	12	84
13	13	84
14	14	83
15	15	82
16	16	81
17	17	80
18	18	79
19	19	78
20	20	78
21	21	76
22	22	75
23	23	74
24	24	73
25	25	71
26	26	70
27	26	69
28	27	67
29	28	66
30	29	65
31	30	64
32	31	63
33	31	61
34	32	60
35	33	59
36	34	58
37	35	57
38	36	56
39	36	55
40	37	54
41	38	52
42	38	51
43	39	50
44	40	49
45	41	48
46	42	47
47	43	46
48	43	45
49	44	44
50	45	43
51	46	43
52	47	42
53	48	41
54	49	40
55	50	39
56	51	38
57	52	37
58	53	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	63	24
72	64	23
73	65	22
74	66	22
75	66	21
76	67	20
77	68	19
78	68	18
79	69	17
80	70	16
81	70	15
82	71	14
83	72	13
84	72	12
85	73	11
86	73	11
87	74	10
88	74	9
89	75	8
90	76	7
91	76	6
92	77	5
93	77	4
94	78	4
95	78	3
96	79	2
97	79	1
98	80	0
99	80	0
